"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_hash","data_path","dislike_threshold","end_sep","like_threshold","min_neg_ratings","min_pos_ratings","model_type","nb_neg","nb_pos","nb_test_users","offset","prompt_id","prompts","sep","users_seed","xp_name","ndcg_1","ndcg_1_std","ndcg_2","ndcg_2_std","ndcg_3","ndcg_3_std","ndcg_4","ndcg_4_std","ndcg_5","ndcg_5_std","pop_1","pop_1_std","precision_1","precision_1_std","precision_2","precision_2_std","precision_3","precision_3_std","precision_4","precision_4_std","precision_5","precision_5_std","recall_1","recall_1_std","recall_2","recall_2_std","recall_3","recall_3_std","recall_4","recall_4_std","recall_5","recall_5_std"
"different-snowball-71","finished","-","","","2025-01-14T07:43:57.000Z","20","","65744026214865600","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","150","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.36","0.48","0.4988045457857206","0.4458362288673765","0.5988045457857205","0.37283915273686","0.6504857327545278","0.3109696208166663","0.6891710134779819","0.24462750707210323","3.4228337698294458","4.066828953393229","0.36","0.48","0.29","0.2467792535850613","0.26","0.13808210118138653","0.225","0.075","0.19999999999999996","5.551115123125783e-17","0.36","0.48","0.58","0.4935585071701226","0.78","0.41424630354415953","0.9","0.3","1","0"
"olive-dust-70","finished","-","","","2025-01-14T07:43:35.000Z","21","","368075964118129000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","100","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.39","0.48259714048054614","0.47202086796428944","0.4671880156689284","0.5820208679642894","0.39663591747662896","0.6337020549330966","0.341683952027127","0.6878614479459324","0.2571469602273475","5.105271456861019","5.800375594749508","0.4","0.4898979485566356","0.26","0.24979991993593592","0.24666666666666665","0.14621141466307536","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.4","0.4898979485566356","0.52","0.49959983987187184","0.74","0.4386342439892262","0.86","0.3469870314579494","1","0"
"dulcet-sunset-69","finished","-","","","2025-01-14T07:43:13.000Z","20","","644500491986486500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","100","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.24","0.4270831300812525","0.3914231408571498","0.42699565541998374","0.5214231408571497","0.3586854793892311","0.5903313901488926","0.28587301792705905","0.6290166708723468","0.2225265597294916","3.4195453502114996","3.482305151945293","0.24","0.4270831300812525","0.24","0.24979991993593592","0.24666666666666665","0.14621141466307538","0.225","0.075","0.19999999999999996","5.551115123125783e-17","0.24","0.4270831300812525","0.48","0.49959983987187184","0.74","0.4386342439892262","0.9","0.3","1","0"
"eager-galaxy-68","finished","-","","","2025-01-14T07:42:51.000Z","21","","232208728778552540","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","50","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.45880454578572055","0.4439305200518899","0.5088045457857205","0.4167659439721165","0.6121669197233349","0.3199114435361347","0.6585892565914798","0.2476095146536998","6.042676574201725","6.036361961706652","0.32","0.466476151587624","0.27","0.24919871588754228","0.21333333333333332","0.16","0.22","0.0812403840463596","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.54","0.49839743177508455","0.64","0.48","0.88","0.3249615361854384","1","0"
"cerulean-serenity-67","finished","-","","","2025-01-14T07:42:27.000Z","23","","601495726164812500","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","50","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.3","0.45825756949558394","0.45142314085714974","0.4378978337976605","0.5714231408571497","0.35918373994234143","0.6231043278259569","0.2992260638905865","0.661789608549411","0.2340838826776263","3.3844003655447024","3.428856032332252","0.3","0.45825756949558394","0.27","0.24919871588754228","0.26","0.13808210118138653","0.225","0.075","0.19999999999999996","5.551115123125783e-17","0.3","0.45825756949558394","0.54","0.49839743177508455","0.78","0.41424630354415953","0.9","0.3","1","0"
"swept-aardvark-66","finished","-","","","2025-01-14T07:42:03.000Z","23","","1263771066742600000","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","0","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.42","0.4935585071701226","0.5840417359285789","0.42707617905753587","0.624041735928579","0.39251843758490906","0.675722922897386","0.3303864694819372","0.722145259765531","0.24944242397741576","4.829609406075399","3.9720516928450538","0.42","0.4935585071701226","0.34","0.23323807579381203","0.2533333333333333","0.14236104336041747","0.22","0.0812403840463596","0.19999999999999996","5.551115123125783e-17","0.42","0.4935585071701226","0.68","0.46647615158762407","0.76","0.4270831300812525","0.88","0.3249615361854384","1","0"
"copper-eon-65","finished","-","","","2025-01-14T07:41:25.000Z","37","","2190207975932028700","/root/.local/share/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","1","50","0","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.32","0.466476151587624","0.5092789260714372","0.4243308634097283","0.6192789260714372","0.3330395140314875","0.6365059883943729","0.3109680447048895","0.6829283252625179","0.23110281690070705","4.328485085234361","5.360761390802584","0.32","0.466476151587624","0.31","0.2426932219902319","0.28","0.12220201853215572","0.22","0.0812403840463596","0.19999999999999996","5.551115123125783e-17","0.32","0.466476151587624","0.62","0.4853864439804639","0.84","0.3666060555964672","0.88","0.3249615361854384","1","0"
"decent-pyramid-64","finished","-","","","2024-12-26T22:04:11.000Z","52","","177609756190372000","/Users/dominikkanjuh/Library/Application Support/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","20","50","150","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.42","0.4935585071701226","0.5335673556428623","0.45492735760975783","0.6535673556428623","0.35284945139182167","0.6966350114502017","0.29137761461492734","0.719846179884274","0.24698590334438045","5.617905246364869","4.833700201569155","0.42","0.4935585071701226","0.3","0.2449489742783178","0.27999999999999997","0.12220201853215572","0.235","0.05937171043518959","0.19999999999999996","5.551115123125783e-17","0.42","0.4935585071701226","0.6","0.4898979485566356","0.84","0.3666060555964672","0.94","0.23748684174075835","1","0"
"misty-frost-63","finished","-","","","2024-12-26T22:03:21.000Z","48","","2043422090660349000","/Users/dominikkanjuh/Library/Application Support/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","20","50","150","0","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.44","0.4963869458396343","0.5283301655000041","0.4654002210727687","0.5983301655000041","0.41560936298955226","0.658624883630279","0.3505865283909198","0.712784276643115","0.26379526042308205","5.6958510676214935","5.4003452192191235","0.44","0.4963869458396343","0.29","0.2467792535850613","0.24","0.14966629547095767","0.215","0.08674675786448735","0.19999999999999996","5.551115123125783e-17","0.44","0.4963869458396343","0.58","0.4935585071701226","0.72","0.44899888641287294","0.86","0.3469870314579494","1","0"
"ancient-tree-62","finished","-","","","2024-12-26T22:02:28.000Z","51","","1946024803151640800","/Users/dominikkanjuh/Library/Application Support/gpt-rec/ml-1m","2.5",",","4","5","21","gpt2","4","20","50","100","3","('[M]', 'Movies like [M]', 'Movies similar to [M]', 'Movies like: [M]', 'Movies similar to: [M]', 'If you liked [M] you will also like')",",","0","nb_pos","0.48","0.49959983987187184","0.5746394630357186","0.4555326320293347","0.6196394630357187","0.4221043424773262","0.6885477123274615","0.34308068375509","0.7349700491956065","0.26378010887570347","6.762840470531878","6.303034556682835","0.48","0.49959983987187184","0.32","0.24","0.24","0.14966629547095767","0.22","0.08124038404635961","0.19999999999999996","5.551115123125783e-17","0.48","0.49959983987187184","0.64","0.48","0.72","0.448998886412873","0.88","0.32496153618543844","1","0"
